,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
BL06 IN,0.02,0.0,0.0,0.1,0.4,0.97,0.52,0.3,0.25,0.23,0.27,0.23,0.2,0.22,0.28,0.28,0.2,0.17,0.2,0.2,0.07,0.02,0.0,0.0,0.1,0.4,1.0,0.52,0.32,0.25,0.25,0.25,0.22,0.18,0.22,0.28,0.27,0.18,0.13,0.17,0.17,0.05,0.02,0.0,0.0,0.08,0.35,0.83,0.43,0.28,0.23,0.23,0.25,0.23,0.2,0.22,0.28,0.28,0.18,0.15,0.2,0.2,0.07,0.02,0.0,0.0,0.1,0.4,0.97,0.53,0.32,0.27,0.25,0.27,0.23,0.2,0.23,0.32,0.32,0.2,0.17,0.2,0.2,0.07,0.03,0.0,0.0,0.1,0.4,0.98,0.52,0.33,0.27,0.27,0.27,0.23,0.22,0.25,0.32,0.35,0.25,0.22,0.23,0.25,0.1,0.03,0.0,0.0,0.07,0.17,0.27,0.3,0.35,0.35,0.35,0.37,0.32,0.3,0.33,0.38,0.33,0.23,0.22,0.25,0.25,0.1,0.02,0.0,0.0,0.05,0.12,0.2,0.25,0.3,0.32,0.32,0.32,0.32,0.28,0.27,0.33,0.28,0.22,0.2,0.2,0.17,0.07
BL06 OUT,0.04,0.0,0.0,0.04,0.11,0.2,0.15,0.17,0.22,0.24,0.28,0.26,0.26,0.33,0.59,0.98,0.78,0.48,0.41,0.37,0.13,0.04,0.0,0.0,0.04,0.11,0.22,0.17,0.17,0.22,0.24,0.26,0.24,0.26,0.41,0.7,0.87,0.65,0.39,0.35,0.33,0.11,0.04,0.0,0.0,0.02,0.09,0.17,0.13,0.15,0.2,0.24,0.28,0.24,0.24,0.3,0.54,0.87,0.67,0.41,0.43,0.39,0.13,0.07,0.0,0.0,0.04,0.11,0.24,0.17,0.17,0.22,0.26,0.3,0.26,0.26,0.35,0.59,0.98,0.76,0.48,0.46,0.43,0.15,0.09,0.0,0.0,0.04,0.11,0.22,0.17,0.2,0.24,0.26,0.3,0.28,0.28,0.37,0.63,1.0,0.8,0.48,0.48,0.48,0.2,0.09,0.0,0.0,0.04,0.07,0.15,0.22,0.22,0.3,0.35,0.37,0.35,0.35,0.43,0.57,0.57,0.46,0.41,0.43,0.43,0.22,0.04,0.0,0.0,0.04,0.07,0.13,0.17,0.2,0.26,0.3,0.33,0.33,0.3,0.37,0.48,0.46,0.39,0.35,0.37,0.3,0.13
BL07 IN,0.02,0.0,0.0,0.06,0.35,0.98,0.5,0.32,0.29,0.31,0.34,0.29,0.27,0.29,0.4,0.56,0.42,0.27,0.24,0.23,0.1,0.02,0.0,0.0,0.06,0.35,1.0,0.52,0.32,0.27,0.29,0.32,0.27,0.26,0.32,0.45,0.53,0.35,0.23,0.21,0.21,0.08,0.03,0.0,0.0,0.06,0.29,0.82,0.44,0.27,0.26,0.31,0.32,0.29,0.26,0.29,0.4,0.52,0.37,0.26,0.24,0.23,0.1,0.03,0.0,0.0,0.06,0.35,0.97,0.53,0.32,0.29,0.32,0.35,0.31,0.27,0.29,0.44,0.6,0.44,0.29,0.27,0.26,0.1,0.05,0.0,0.0,0.06,0.35,0.97,0.52,0.35,0.32,0.35,0.37,0.34,0.32,0.34,0.5,0.66,0.52,0.34,0.32,0.32,0.15,0.05,0.0,0.0,0.05,0.16,0.27,0.34,0.4,0.5,0.48,0.5,0.45,0.42,0.45,0.52,0.5,0.39,0.35,0.35,0.35,0.16,0.03,0.0,0.0,0.05,0.11,0.21,0.27,0.32,0.4,0.42,0.42,0.45,0.42,0.44,0.5,0.47,0.39,0.37,0.37,0.32,0.13
BL07 OUT,0.03,0.0,0.0,0.11,0.3,0.53,0.25,0.23,0.25,0.28,0.28,0.28,0.3,0.37,0.56,0.89,0.7,0.44,0.37,0.33,0.11,0.03,0.0,0.0,0.09,0.3,0.53,0.25,0.23,0.23,0.28,0.28,0.28,0.31,0.47,0.67,0.8,0.58,0.36,0.33,0.28,0.08,0.03,0.0,0.0,0.08,0.22,0.42,0.2,0.2,0.22,0.27,0.27,0.28,0.3,0.36,0.53,0.83,0.61,0.39,0.39,0.34,0.11,0.03,0.0,0.0,0.09,0.28,0.55,0.27,0.23,0.25,0.27,0.3,0.28,0.31,0.41,0.59,0.91,0.69,0.44,0.44,0.36,0.12,0.06,0.0,0.0,0.09,0.28,0.55,0.28,0.25,0.27,0.31,0.33,0.33,0.33,0.42,0.66,1.0,0.75,0.48,0.45,0.44,0.17,0.06,0.0,0.0,0.09,0.17,0.23,0.27,0.34,0.37,0.41,0.41,0.42,0.45,0.53,0.66,0.58,0.45,0.37,0.42,0.39,0.17,0.03,0.0,0.0,0.06,0.12,0.16,0.22,0.3,0.34,0.36,0.37,0.42,0.44,0.5,0.58,0.52,0.41,0.37,0.33,0.27,0.09
BL08 IN,0.01,0.0,0.0,0.1,0.39,0.97,0.46,0.27,0.21,0.21,0.23,0.19,0.16,0.16,0.21,0.31,0.23,0.14,0.11,0.08,0.03,0.01,0.0,0.0,0.1,0.4,1.0,0.49,0.27,0.2,0.2,0.23,0.18,0.14,0.18,0.22,0.28,0.19,0.11,0.11,0.08,0.03,0.01,0.0,0.0,0.08,0.33,0.83,0.41,0.24,0.2,0.2,0.23,0.2,0.17,0.16,0.21,0.29,0.2,0.12,0.11,0.09,0.03,0.01,0.0,0.0,0.1,0.39,0.98,0.5,0.27,0.21,0.22,0.24,0.2,0.17,0.17,0.22,0.32,0.23,0.14,0.13,0.1,0.04,0.01,0.0,0.0,0.1,0.38,0.98,0.49,0.28,0.23,0.22,0.24,0.21,0.18,0.18,0.24,0.37,0.28,0.17,0.16,0.13,0.06,0.02,0.0,0.0,0.07,0.14,0.24,0.29,0.3,0.31,0.3,0.31,0.27,0.23,0.23,0.27,0.26,0.18,0.13,0.14,0.11,0.06,0.01,0.0,0.0,0.06,0.1,0.18,0.23,0.26,0.28,0.27,0.29,0.26,0.21,0.19,0.22,0.21,0.14,0.12,0.12,0.08,0.03
BL08 OUT,0.05,0.0,0.0,0.06,0.19,0.3,0.19,0.16,0.17,0.22,0.2,0.2,0.23,0.33,0.55,0.98,0.8,0.5,0.44,0.39,0.14,0.03,0.0,0.0,0.06,0.19,0.3,0.19,0.16,0.17,0.22,0.2,0.2,0.27,0.44,0.7,0.91,0.67,0.41,0.39,0.34,0.12,0.05,0.0,0.0,0.05,0.14,0.23,0.14,0.14,0.16,0.2,0.19,0.2,0.23,0.31,0.53,0.87,0.69,0.45,0.45,0.42,0.14,0.05,0.0,0.0,0.06,0.19,0.3,0.2,0.16,0.17,0.22,0.22,0.2,0.23,0.33,0.56,1.0,0.78,0.5,0.5,0.45,0.16,0.08,0.0,0.0,0.06,0.19,0.3,0.19,0.17,0.19,0.23,0.23,0.22,0.25,0.34,0.58,0.95,0.75,0.5,0.52,0.53,0.22,0.08,0.0,0.0,0.05,0.09,0.14,0.17,0.19,0.23,0.27,0.25,0.27,0.3,0.37,0.47,0.45,0.36,0.36,0.42,0.44,0.19,0.05,0.0,0.0,0.05,0.08,0.12,0.12,0.16,0.19,0.22,0.25,0.25,0.28,0.33,0.44,0.42,0.36,0.34,0.37,0.33,0.12
BL09 IN,0.02,0.0,0.0,0.11,0.42,0.95,0.47,0.26,0.21,0.21,0.23,0.19,0.16,0.18,0.21,0.32,0.23,0.16,0.12,0.09,0.05,0.02,0.0,0.0,0.11,0.42,1.0,0.49,0.26,0.21,0.19,0.21,0.18,0.14,0.19,0.21,0.28,0.19,0.12,0.11,0.09,0.04,0.02,0.0,0.0,0.09,0.35,0.84,0.4,0.23,0.19,0.21,0.23,0.19,0.14,0.16,0.21,0.3,0.21,0.14,0.14,0.11,0.05,0.02,0.0,0.0,0.11,0.42,0.96,0.51,0.26,0.21,0.23,0.23,0.19,0.16,0.18,0.23,0.33,0.23,0.16,0.14,0.11,0.05,0.02,0.0,0.0,0.11,0.42,0.98,0.49,0.28,0.21,0.23,0.23,0.19,0.18,0.18,0.25,0.37,0.28,0.16,0.16,0.14,0.05,0.02,0.0,0.0,0.09,0.14,0.25,0.3,0.3,0.32,0.3,0.3,0.25,0.23,0.21,0.28,0.26,0.19,0.14,0.14,0.12,0.07,0.02,0.0,0.0,0.05,0.12,0.19,0.23,0.25,0.28,0.25,0.26,0.25,0.21,0.19,0.23,0.19,0.16,0.12,0.11,0.09,0.04
BL09 OUT,0.05,0.0,0.0,0.05,0.11,0.34,0.25,0.16,0.16,0.2,0.23,0.2,0.23,0.32,0.55,1.0,0.75,0.48,0.45,0.41,0.14,0.05,0.0,0.0,0.05,0.11,0.34,0.25,0.16,0.16,0.2,0.23,0.2,0.25,0.41,0.68,0.91,0.64,0.39,0.39,0.36,0.11,0.05,0.0,0.0,0.02,0.09,0.27,0.2,0.14,0.14,0.18,0.18,0.2,0.23,0.32,0.52,0.91,0.66,0.45,0.45,0.43,0.16,0.05,0.0,0.0,0.05,0.11,0.34,0.25,0.16,0.16,0.2,0.23,0.23,0.25,0.32,0.57,1.0,0.73,0.48,0.5,0.45,0.16,0.07,0.0,0.0,0.05,0.11,0.34,0.25,0.16,0.16,0.23,0.25,0.23,0.27,0.34,0.57,0.95,0.7,0.45,0.52,0.52,0.23,0.07,0.0,0.0,0.05,0.07,0.14,0.16,0.18,0.2,0.25,0.27,0.27,0.3,0.34,0.48,0.45,0.36,0.34,0.43,0.45,0.23,0.05,0.0,0.0,0.02,0.05,0.09,0.14,0.14,0.18,0.2,0.23,0.25,0.27,0.32,0.41,0.41,0.34,0.34,0.36,0.34,0.14
BL10 IN,0.05,0.0,0.0,0.16,0.5,0.95,0.61,0.47,0.45,0.45,0.45,0.39,0.37,0.42,0.55,0.66,0.45,0.32,0.29,0.18,0.11,0.05,0.0,0.0,0.16,0.53,1.0,0.63,0.45,0.42,0.45,0.45,0.39,0.37,0.45,0.55,0.55,0.39,0.29,0.26,0.18,0.11,0.05,0.0,0.0,0.13,0.45,0.92,0.55,0.42,0.39,0.39,0.42,0.39,0.37,0.42,0.55,0.61,0.42,0.32,0.32,0.21,0.11,0.05,0.0,0.0,0.16,0.5,0.97,0.63,0.47,0.42,0.42,0.45,0.37,0.39,0.42,0.55,0.66,0.47,0.32,0.29,0.24,0.11,0.05,0.0,0.0,0.16,0.5,0.97,0.63,0.5,0.47,0.47,0.47,0.42,0.42,0.47,0.61,0.68,0.5,0.37,0.37,0.26,0.13,0.05,0.0,0.0,0.13,0.24,0.32,0.45,0.53,0.61,0.58,0.58,0.53,0.5,0.55,0.63,0.61,0.45,0.39,0.37,0.29,0.16,0.05,0.0,0.0,0.11,0.18,0.29,0.39,0.5,0.55,0.53,0.53,0.5,0.47,0.53,0.58,0.5,0.42,0.37,0.29,0.21,0.11
BL10 OUT,0.06,0.0,0.0,0.09,0.31,0.46,0.34,0.34,0.37,0.4,0.4,0.46,0.49,0.51,0.69,0.97,0.74,0.49,0.46,0.37,0.14,0.03,0.0,0.0,0.09,0.29,0.46,0.37,0.34,0.34,0.37,0.43,0.46,0.46,0.57,0.74,0.89,0.66,0.43,0.4,0.31,0.11,0.06,0.0,0.0,0.09,0.26,0.4,0.29,0.29,0.31,0.37,0.43,0.46,0.46,0.49,0.69,0.94,0.71,0.46,0.46,0.37,0.14,0.06,0.0,0.0,0.09,0.29,0.46,0.34,0.34,0.34,0.4,0.43,0.46,0.49,0.54,0.71,1.0,0.74,0.49,0.49,0.43,0.14,0.09,0.0,0.0,0.09,0.29,0.49,0.37,0.4,0.37,0.43,0.46,0.49,0.51,0.57,0.71,1.0,0.77,0.51,0.51,0.51,0.2,0.09,0.0,0.0,0.09,0.17,0.26,0.34,0.46,0.46,0.49,0.54,0.57,0.6,0.63,0.77,0.66,0.54,0.46,0.49,0.46,0.2,0.06,0.0,0.0,0.09,0.17,0.23,0.31,0.37,0.43,0.43,0.49,0.54,0.6,0.6,0.66,0.6,0.49,0.43,0.43,0.34,0.11
BL11 IN,0.1,0.0,0.0,0.08,0.21,0.54,0.38,0.32,0.36,0.39,0.4,0.43,0.46,0.54,0.74,0.92,0.7,0.55,0.56,0.51,0.26,0.07,0.0,0.0,0.07,0.21,0.55,0.37,0.32,0.35,0.37,0.39,0.4,0.44,0.58,0.73,0.81,0.6,0.45,0.48,0.44,0.21,0.1,0.0,0.0,0.06,0.19,0.49,0.32,0.29,0.32,0.38,0.4,0.43,0.45,0.52,0.74,0.89,0.68,0.54,0.61,0.56,0.27,0.1,0.0,0.0,0.07,0.21,0.54,0.37,0.32,0.35,0.38,0.43,0.44,0.46,0.56,0.75,0.94,0.71,0.55,0.62,0.6,0.29,0.18,0.0,0.0,0.07,0.21,0.54,0.38,0.35,0.38,0.4,0.46,0.46,0.5,0.6,0.82,1.0,0.77,0.62,0.7,0.74,0.4,0.18,0.0,0.0,0.06,0.12,0.2,0.29,0.37,0.44,0.5,0.57,0.63,0.64,0.77,0.93,0.89,0.76,0.73,0.77,0.74,0.42,0.11,0.0,0.0,0.06,0.1,0.18,0.27,0.35,0.42,0.45,0.51,0.57,0.63,0.75,0.85,0.81,0.71,0.64,0.65,0.54,0.29
BL11 OUT,0.04,0.0,0.0,0.04,0.19,0.61,0.31,0.31,0.4,0.45,0.52,0.49,0.46,0.48,0.65,0.8,0.58,0.42,0.38,0.28,0.12,0.03,0.0,0.0,0.04,0.19,0.61,0.32,0.31,0.38,0.44,0.49,0.45,0.43,0.56,0.65,0.71,0.49,0.34,0.31,0.24,0.1,0.03,0.0,0.0,0.04,0.18,0.57,0.3,0.29,0.38,0.44,0.51,0.51,0.47,0.49,0.66,0.82,0.56,0.41,0.38,0.29,0.12,0.03,0.0,0.0,0.04,0.19,0.62,0.33,0.32,0.41,0.47,0.53,0.49,0.46,0.51,0.68,0.85,0.61,0.42,0.4,0.31,0.13,0.06,0.0,0.0,0.05,0.2,0.62,0.34,0.35,0.44,0.52,0.58,0.53,0.52,0.56,0.75,1.0,0.76,0.52,0.47,0.4,0.16,0.06,0.0,0.0,0.03,0.1,0.25,0.32,0.43,0.61,0.68,0.77,0.73,0.72,0.77,0.86,0.8,0.62,0.52,0.49,0.41,0.18,0.04,0.0,0.0,0.03,0.08,0.18,0.26,0.38,0.54,0.61,0.72,0.72,0.68,0.66,0.72,0.63,0.49,0.42,0.39,0.31,0.13
